image,sample_id,mouse_id,group,section,region,stain_batch,pixel_size_um,use_image,notes
1012873_level0.tiff,1012873_level0,M14,Sedentary,,LV myocardium,,0.5021,TRUE,
1012874_level0.tiff,1012874_level0,M4,Exercise,,LV myocardium,,0.5021,TRUE,
1012875_level0.tiff,1012875_level0,M3,Exercise,,LV myocardium,,0.5021,TRUE,
1012876_level0.tiff,1012876_level0,M19,Exercise,,LV myocardium,,0.5021,TRUE,
1012877_level0.tiff,1012877_level0,M15,Sedentary,,LV myocardium,,0.5021,TRUE,
1012878_level0.tiff,1012878_level0,M16,Sedentary,,LV myocardium,,0.5021,TRUE,
1012879_level0.tiff,1012879_level0,M21,Sedentary,,LV myocardium,,0.5021,TRUE,
1012880_level0.tiff,1012880_level0,M17,Sedentary,,LV myocardium,,0.5021,TRUE,
1012881_level0.tiff,1012881_level0,M18,Sedentary,,LV myocardium,,0.5021,TRUE,
1012882_level0.tiff,1012882_level0,M24,Sedentary,,LV myocardium,,0.5021,TRUE,
1012883_level0.tiff,1012883_level0,M10,Exercise,,LV myocardium,,0.5021,TRUE,
1012885_level0.tiff,1012885_level0,M22,Sedentary,,LV myocardium,,0.5021,TRUE,
1012886_level0.tiff,1012886_level0,M7,Exercise,,LV myocardium,,0.5021,TRUE,
1012887_level0.tiff,1012887_level0,M13,Sedentary,,LV myocardium,,0.5021,TRUE,
1012889_level0.tiff,1012889_level0,M12,Sedentary,,LV myocardium,,0.5021,TRUE,
1012890_level0.tiff,1012890_level0,M5,Exercise,,LV myocardium,,0.5021,TRUE,
1012891_level0.tiff,1012891_level0,M23,Exercise,,LV myocardium,,0.5021,TRUE,
1012892_level0.tiff,1012892_level0,M2,Exercise,,LV myocardium,,0.5021,TRUE,
1012893_level0.tiff,1012893_level0,M6,Exercise,,LV myocardium,,0.5021,TRUE,
1012895_level0.tiff,1012895_level0,M8,Exercise,,LV myocardium,,0.5021,TRUE,
