image,sample_id,mouse_id,group,section,region,stain_batch,use_image,notes,denominator_source,vessel_status,perivascular_buffer_px,pixel_size_um,analysis_area_px,total_collagen_area_px,total_fibrosis_percent,vessel_core_area_px,vessel_core_collagen_area_px,perivascular_zone_area_px,perivascular_collagen_area_px,perivascular_collagen_percent,perivascular_ring_area_px,perivascular_ring_collagen_area_px,perivascular_ring_collagen_percent,interstitial_zone_area_px,interstitial_collagen_area_px,interstitial_fibrosis_percent,analysis_area_um2,total_collagen_area_um2,perivascular_zone_area_um2,perivascular_collagen_area_um2,interstitial_zone_area_um2,interstitial_collagen_area_um2
1012873_level0.tiff,1012873_level0,M14,Sedentary,,LV myocardium,,True,,manual_myocardium_mask,manual_vessel_mask_present,100,0.5021,59568552,1851952,3.1089424500363885,346480,74194,2805807,367288,13.09028026517861,2459327,293094,11.917650641821927,56762745,1484664,2.6155606111015244,15017494.65651432,466885.26630832,707356.31830887,92594.92454007998,14310138.33820545,374290.34176824
1012874_level0.tiff,1012874_level0,M4,Exercise,,LV myocardium,,True,,manual_myocardium_mask,manual_vessel_mask_present,100,0.5021,52757214,4168858,7.90196768161412,89478,46573,2175882,357454,16.428004827467667,2086404,310881,14.900326111337977,50581332,3811404,7.535198954428483,13300326.30871374,1050987.48646378,548549.44783962,90115.72977214,12751776.860874118,960871.75669164
1012875_level0.tiff,1012875_level0,M3,Exercise,,LV myocardium,,True,,manual_myocardium_mask,manual_vessel_mask_present,100,0.5021,41403489,2436710,5.885276963011499,363787,137655,3824525,646579,16.906125597296395,3460738,508924,14.705649488635084,37578964,1790131,4.763651813285752,10438002.166286487,614305.3368911,964179.61865525,163005.41731339,9473822.54763124,451299.91957771
1012876_level0.tiff,1012876_level0,M19,Exercise,,LV myocardium,,True,,manual_myocardium_mask,manual_vessel_mask_present,100,0.5021,58000525,3458959,5.9636684323116045,226888,112822,1666254,360310,21.62395409103294,1439366,247488,17.1942369070827,56334271,3098649,5.500468799889148,14622188.13481525,872018.81790919,420069.98158014,90835.7399671,14202118.15323511,781183.0779420899
1012877_level0.tiff,1012877_level0,M15,Sedentary,,LV myocardium,,True,,manual_myocardium_mask,manual_vessel_mask_present,100,0.5021,54981361,4294919,7.811590913509762,1214728,424278,7014466,1084530,15.461333763682084,5799738,660252,11.384169422825652,47966895,3210389,6.692926444373771,13861043.57590201,1082768.0204927898,1768377.81239506,273414.7957773,12092665.763506947,809353.22471549
1012878_level0.tiff,1012878_level0,M16,Sedentary,,LV myocardium,,True,,manual_myocardium_mask,manual_vessel_mask_present,100,0.5021,45712942,2265310,4.955511286059864,173625,43466,4212731,409307,9.71595385511204,4039106,365841,9.057474599577231,41500211,1856003,4.472273646994228,11524434.272274218,571094.6410171001,1062048.06324371,103188.09974387,10462386.209030507,467906.54127323
1012879_level0.tiff,1012879_level0,M21,Sedentary,,LV myocardium,,True,,manual_myocardium_mask,manual_vessel_mask_present,100,0.5021,56684463,4914459,8.669851913389389,161299,49340,4367607,556110,12.732601628305844,4206308,506770,12.047857646182829,52316856,4358349,8.330678357277433,14290403.10078183,1238956.7866641898,1101092.98584687,140197.7834451,13189310.11493496,1098759.00321909
1012880_level0.tiff,1012880_level0,M17,Sedentary,,LV myocardium,,True,,manual_myocardium_mask,manual_vessel_mask_present,100,0.5021,61035550,890358,1.458753136491766,83863,6203,2859921,63290,2.212998191208778,2776058,57087,2.056405161563627,58175629,827068,1.4216743578311806,15387331.3217755,224463.17827878,720998.6963516099,15955.6881089,14666332.62542389,208507.49016988
1012881_level0.tiff,1012881_level0,M18,Sedentary,,LV myocardium,,True,,manual_myocardium_mask,manual_vessel_mask_present,100,0.5021,52623092,1730684,3.2888299304039377,157258,40252,2475673,216204,8.733140443022968,2318415,175952,7.589322877914437,50147419,1514480,3.020055728092407,13266513.56103572,436313.06871644,624128.08101793,54505.98185964,12642385.48001779,381807.0868568
1012882_level0.tiff,1012882_level0,M24,Sedentary,,LV myocardium,,True,,manual_myocardium_mask,manual_vessel_mask_present,100,0.5021,53554063,3306797,6.174689304152329,377528,119745,6197629,717967,11.584543056707654,5820101,598222,10.278550148871988,47356434,2588830,5.466691178647446,13501215.45571783,833658.10667477,1562449.60244389,181002.64693447,11938765.85327394,652655.4597403
1012883_level0.tiff,1012883_level0,M10,Exercise,,LV myocardium,,True,,manual_myocardium_mask,manual_vessel_mask_present,100,0.5021,52676589,4199426,7.972091738893724,118254,47138,1776109,277317,15.613737670379464,1657855,230179,13.884145477137627,50900480,3922109,7.705445999723381,13280000.39065749,1058693.81406866,447764.91154069,69912.83866796999,12832235.4791168,988780.97540069
1012885_level0.tiff,1012885_level0,M22,Sedentary,,LV myocardium,,True,,manual_myocardium_mask,manual_vessel_mask_present,100,0.5021,50511925,2239565,4.4337352021329615,42853,9227,1299736,101216,7.787427600681984,1256883,91989,7.31881965147114,49212189,2138349,4.345161317656485,12734279.05008925,564604.21298165,327669.17743576,25516.99996256,12406609.87265349,539087.21301909
1012886_level0.tiff,1012886_level0,M7,Exercise,,LV myocardium,,True,,manual_myocardium_mask,manual_vessel_mask_present,100,0.5021,56528384,2150776,3.804771776246072,92888,19298,3523876,179026,5.080371727041474,3430988,159728,4.655452015571025,53004508,1971750,3.7199666111418295,14251054.89657344,542220.1145221599,888384.6798931599,45133.24410466,13362670.21668028,497086.8704175
