mouse_id,group,region,section,stain_batch,n_images,total_fibrosis_percent_mean,interstitial_fibrosis_percent_mean,perivascular_collagen_percent_mean,perivascular_ring_collagen_percent_mean,analysis_area_px_mean,total_collagen_area_px_mean,interstitial_collagen_area_px_mean,perivascular_collagen_area_px_mean,total_fibrosis_percent_median,interstitial_fibrosis_percent_median,perivascular_collagen_percent_median,perivascular_ring_collagen_percent_median,analysis_area_px_median,total_collagen_area_px_median,interstitial_collagen_area_px_median,perivascular_collagen_area_px_median,total_fibrosis_percent_sd,interstitial_fibrosis_percent_sd,perivascular_collagen_percent_sd,perivascular_ring_collagen_percent_sd,analysis_area_px_sd,total_collagen_area_px_sd,interstitial_collagen_area_px_sd,perivascular_collagen_area_px_sd
M10,Exercise,LV myocardium,,,1,7.972091738893724,7.705445999723381,15.613737670379464,13.884145477137627,52676589.0,4199426.0,3922109.0,277317.0,7.972091738893724,7.705445999723381,15.613737670379464,13.884145477137627,52676589.0,4199426.0,3922109.0,277317.0,,,,,,,,
M12,Sedentary,LV myocardium,,,1,3.857739535901896,3.8038030817235473,6.641615489930923,6.048085680128562,62601764.0,2415013.0,2335989.0,79024.0,3.857739535901896,3.8038030817235473,6.641615489930923,6.048085680128562,62601764.0,2415013.0,2335989.0,79024.0,,,,,,,,
M13,Sedentary,LV myocardium,,,1,5.208475903232639,5.093541169431347,8.01467482891667,7.712528666245473,49588249.0,2582792.0,2426418.0,156374.0,5.208475903232639,5.093541169431347,8.01467482891667,7.712528666245473,49588249.0,2582792.0,2426418.0,156374.0,,,,,,,,
M14,Sedentary,LV myocardium,,,1,3.1089424500363885,2.6155606111015244,13.09028026517861,11.917650641821927,59568552.0,1851952.0,1484664.0,367288.0,3.1089424500363885,2.6155606111015244,13.09028026517861,11.917650641821927,59568552.0,1851952.0,1484664.0,367288.0,,,,,,,,
M15,Sedentary,LV myocardium,,,1,7.811590913509762,6.692926444373771,15.461333763682084,11.384169422825652,54981361.0,4294919.0,3210389.0,1084530.0,7.811590913509762,6.692926444373771,15.461333763682084,11.384169422825652,54981361.0,4294919.0,3210389.0,1084530.0,,,,,,,,
M16,Sedentary,LV myocardium,,,1,4.955511286059864,4.472273646994228,9.71595385511204,9.057474599577231,45712942.0,2265310.0,1856003.0,409307.0,4.955511286059864,4.472273646994228,9.71595385511204,9.057474599577231,45712942.0,2265310.0,1856003.0,409307.0,,,,,,,,
M17,Sedentary,LV myocardium,,,1,1.458753136491766,1.4216743578311806,2.212998191208778,2.056405161563627,61035550.0,890358.0,827068.0,63290.0,1.458753136491766,1.4216743578311806,2.212998191208778,2.056405161563627,61035550.0,890358.0,827068.0,63290.0,,,,,,,,
M18,Sedentary,LV myocardium,,,1,3.2888299304039377,3.020055728092407,8.733140443022968,7.589322877914437,52623092.0,1730684.0,1514480.0,216204.0,3.2888299304039377,3.020055728092407,8.733140443022968,7.589322877914437,52623092.0,1730684.0,1514480.0,216204.0,,,,,,,,
M19,Exercise,LV myocardium,,,1,5.9636684323116045,5.500468799889148,21.62395409103294,17.1942369070827,58000525.0,3458959.0,3098649.0,360310.0,5.9636684323116045,5.500468799889148,21.62395409103294,17.1942369070827,58000525.0,3458959.0,3098649.0,360310.0,,,,,,,,
M2,Exercise,LV myocardium,,,1,1.1239115598867877,1.1133104245147438,1.8364432673054063,1.7743420187484735,51303236.0,576603.0,562791.0,13812.0,1.1239115598867877,1.1133104245147438,1.8364432673054063,1.7743420187484735,51303236.0,576603.0,562791.0,13812.0,,,,,,,,
M21,Sedentary,LV myocardium,,,1,8.669851913389389,8.330678357277433,12.732601628305844,12.047857646182829,56684463.0,4914459.0,4358349.0,556110.0,8.669851913389389,8.330678357277433,12.732601628305844,12.047857646182829,56684463.0,4914459.0,4358349.0,556110.0,,,,,,,,
